TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
226,30-0-20-4-C,11:25,,30,0,20,4,C,,,,,,,
227,30-0-20-6-C,11:26,,30,0,20,6,C,,,,,,,
228,30-0-20-8-C,11:26,,30,0,20,8,C,,,,,,,
229,30-0-20-10-C,11:27,,30,0,20,10,C,,,,,,,
230,30-0-20-12-C,11:27,,30,0,20,12,C,,,,,,,
231,30-0-20-16-C,11:28,,30,0,20,16,C,,,,,,,
232,30-0-20-20-C,11:28,,30,0,20,20,C,,,,,,,
233,40-0-20-0-C,11:29,,40,0,20,0,C,,,,,,,
234,40-0-20-4-C,11:29,,40,0,20,4,C,,,,,,,
235,40-0-20-6-C,11:30,,40,0,20,6,C,,,,,,,
236,40-0-20-8-C,11:30,,40,0,20,8,C,,,,,,,
237,40-0-20-10-C,11:31,,40,0,20,10,C,,,,,,,
238,40-0-20-12-C,11:31,,40,0,20,12,C,,,,,,,
239,40-0-20-16-C,11:32,,40,0,20,16,C,,,,,,,
240,40-0-20-20-C,11:32,,40,0,20,20,C,,,,,,,
241,20-0-25-0-C,11:33,,20,0,25,0,C,,,,,,,
242,20-0-25-4-C,11:33,,20,0,25,4,C,,,,,,,
243,20-0-25-6-C,11:34,,20,0,25,6,C,,,,,,,
244,20-0-25-8-C,11:34,,20,0,25,8,C,,,,,,,
245,20-0-25-10-C,11:35,,20,0,25,10,C,,,,,,,
246,20-0-25-12-C,11:35,,20,0,25,12,C,,,,,,,
247,20-0-25-16-C,11:36,,20,0,25,16,C,,,,,,,
248,20-0-25-20-C,11:36,,20,0,25,20,C,,,,,,,
249,30-0-25-0-C,11:37,,30,0,25,0,C,,,,,,,
250,30-0-25-4-C,11:37,,30,0,25,4,C,,,,,,,
251,30-0-25-6-C,11:38,,30,0,25,6,C,,,,,,,
252,30-0-25-8-C,11:38,,30,0,25,8,C,,,,,,,
253,30-0-25-10-C,11:39,,30,0,25,10,C,,,,,,,
254,30-0-25-12-C,11:39,,30,0,25,12,C,,,,,,,
255,30-0-25-16-C,11:40,,30,0,25,16,C,,,,,,,
256,30-0-25-20-C,11:40,,30,0,25,20,C,,,,,,,
257,40-0-25-0-C,11:41,,40,0,25,0,C,,,,,,,
258,40-0-25-4-C,11:41,,40,0,25,4,C,,,,,,,
259,40-0-25-6-C,11:42,,40,0,25,6,C,,,,,,,
260,40-0-25-8-C,11:42,,40,0,25,8,C,,,,,,,
261,40-0-25-10-C,11:43,,40,0,25,10,C,,,,,,,
262,40-0-25-12-C,11:43,,40,0,25,12,C,,,,,,,
263,40-0-25-16-C,11:44,,40,0,25,16,C,,,,,,,
264,40-0-25-20-C,11:44,,40,0,25,20,C,,,,,,,
265,20-0-30-0-C,11:45,,20,0,30,0,C,,,,,,,
266,20-0-30-4-C,11:45,,20,0,30,4,C,,,,,,,
267,20-0-30-6-C,11:46,,20,0,30,6,C,,,,,,,
268,20-0-30-8-C,11:46,,20,0,30,8,C,,,,,,,
