t1552934424.42 U25.131 I8.3993 T_a13.812 T_p34.0760173182 R13.812, 
t1552934434.44 U25.1352 I8.4064 T_a13.812 T_p34.1384165886 R13.812, 
t1552934444.46 U25.1257 I8.4099 T_a13.812 T_p34.1446590256 R13.812, 
t1552934454.48 U25.1099 I8.4029 T_a13.812 T_p33.9950346774 R13.812, 
t1552934464.5 U25.1394 I8.4134 T_a13.812 T_p33.9514564307 R13.812, 
t1552934474.52 U25.1236 I8.4099 T_a13.812 T_p34.0324204268 R13.812, 
t1552934484.54 U25.1701 I8.4029 T_a13.812 T_p34.1384228707 R13.812, 
t1552934494.56 U25.1331 I8.4134 T_a13.812 T_p34.0386378795 R13.812, 
t1552934504.58 U25.1542 I8.4099 T_a13.812 T_p34.0137244686 R13.812, 
t1552934514.6 U25.1785 I8.4064 T_a13.812 T_p34.0386254019 R13.812, 
t1552934524.62 U25.168 I8.4064 T_a13.812 T_p34.0822597263 R13.812, 
t1552934534.64 U25.1796 I8.3466 T_a13.812 T_p33.9825810986 R13.812, 
t1552934544.66 U25.1912 I8.3747 T_a13.812 T_p34.12595059 R13.812, 
t1552934554.67 U25.188 I8.2023 T_a13.812 T_p34.1946301643 R13.812, 
t1552934564.69 U25.1944 I8.1002 T_a13.812 T_p34.1384039953 R13.812, 
t1552934574.71 U25.1986 I7.9736 T_a13.812 T_p34.1446464323 R13.812, 
t1552934584.73 U25.1901 I7.8574 T_a13.812 T_p34.1633863655 R13.812, 
t1552934594.75 U25.1996 I7.7343 T_a13.812 T_p34.1946175129 R13.812, 
t1552934604.77 U25.1954 I7.6076 T_a13.812 T_p34.2446138672 R13.812, 
t1552934614.79 U25.1891 I7.5091 T_a13.812 T_p34.2258675938 R13.812, 
t1552934624.81 U25.2007 I7.3754 T_a13.812 T_p34.0136995133 R13.812, 
t1552934634.83 U25.1901 I7.2522 T_a13.812 T_p34.0448803165 R13.812, 
t1552934644.85 U25.1986 I7.1044 T_a13.812 T_p34.0324204844 R13.812, 
t1552934654.87 U25.1933 I7.0024 T_a13.812 T_p34.0884896279 R13.812, 
t1552934664.92 U25.1827 I6.8968 T_a13.812 T_p34.0448553035 R13.812, 
t1552934674.94 U25.1849 I6.7737 T_a13.812 T_p33.9763574214 R13.812, 
t1552934684.96 U25.1891 I6.6188 T_a13.812 T_p34.0448553035 R13.812, 
t1552934694.98 U25.1944 I6.4957 T_a13.812 T_p33.9638851978 R13.812, 
t1552934705.0 U25.2007 I6.369 T_a13.812 T_p34.0947320649 R13.812, 
t1552934715.02 U25.1996 I6.2282 T_a13.812 T_p34.1009682198 R13.812, 
t1552934725.04 U25.1944 I6.1262 T_a13.812 T_p34.0012459632 R13.812, 
t1552934735.06 U25.1933 I5.9784 T_a13.812 T_p34.08849591 R13.812, 
t1552934745.08 U25.188 I5.8623 T_a13.812 T_p33.9639038138 R13.812, 
t1552934755.1 U25.1901 I5.7251 T_a13.812 T_p33.9203318203 R13.812, 
t1552934765.12 U25.1891 I5.6125 T_a13.812 T_p33.9079030531 R13.812, 
t1552934775.15 U25.1891 I5.4717 T_a13.812 T_p34.0261655986 R13.812, 
t1552934785.17 U25.1933 I5.3098 T_a13.812 T_p34.0074945669 R13.812, 
t1552934795.19 U25.1849 I5.2043 T_a13.812 T_p34.0012770855 R13.812, 
t1552934805.21 U25.1901 I5.0635 T_a13.812 T_p34.0261780762 R13.812, 
