t1553597005.03 U19.7998417334 I-80.9848 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597005.14 U19.8379417334 I-80.9848 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597005.25 U19.8203667403 I-80.9883 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597005.36 U19.8064917197 I-80.9778 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597005.47 U19.8076667403 I-80.9883 T_a14.312 T_p18.8322346757 R0.407144818947, 
t1553597005.58 U19.8242574685 I-80.9954 T_a14.312 T_p18.8322346757 R0.407144818947, 
t1553597005.69 U19.8048167266 I-80.9813 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597005.79 U19.8244917197 I-80.9778 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597005.9 U19.8017324617 I-80.9919 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.01 U19.8228324617 I-80.9919 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.12 U19.7974167266 I-80.9813 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.22 U19.8052574685 I-80.9954 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.33 U19.8284417334 I-80.9848 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.44 U19.7953167266 I-80.9813 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.55 U19.8319824754 I-80.9989 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.66 U19.8218324617 I-80.9919 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.77 U19.8305417334 I-80.9848 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.87 U19.8146417334 I-80.9848 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597006.98 U19.8232574685 I-80.9954 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597007.09 U19.7886824754 I-80.9989 T_a14.312 T_p19.3142129449 R0.407144818947, 
t1553597007.2 U19.8016167266 I-80.9813 T_a14.312 T_p19.4696854978 R0.407144818947, 
t1553597007.32 U19.7945667128 I-80.9743 T_a14.312 T_p19.4696854978 R0.407144818947, 
t1553597007.43 U19.8062417334 I-80.9848 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597007.54 U19.7956417334 I-80.9848 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597007.64 U19.8118667403 I-80.9883 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597007.75 U19.8210417334 I-80.9848 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597007.86 U19.8351824754 I-80.9989 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597007.97 U19.8059324617 I-80.9919 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.08 U19.8181667403 I-80.9883 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.18 U19.7763167266 I-80.9813 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.29 U19.8284574685 I-80.9954 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.4 U19.8265917197 I-80.9778 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.51 U19.8179574685 I-80.9954 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.62 U19.7943324617 I-80.9919 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.73 U19.8112324617 I-80.9919 T_a14.375 T_p19.4696854978 R0.407144818947, 
t1553597008.84 U19.7826167266 I-80.9813 T_a14.375 T_p19.770163203 R0.407144818947, 
t1553597008.94 U19.7953167266 I-80.9813 T_a14.375 T_p19.770163203 R0.407144818947, 
t1553597009.05 U19.7837167266 I-80.9813 T_a14.375 T_p19.770163203 R0.407144818947, 
t1553597009.16 U19.8039074823 I-81.0024 T_a14.375 T_p19.770163203 R0.407144818947, 
t1553597009.27 U19.7950824754 I-80.9989 T_a14.375 T_p19.770163203 R0.407144818947, 
t1553597009.38 U19.8072417334 I-80.9848 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597009.48 U19.8012917197 I-80.9778 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597009.59 U19.7939824754 I-80.9989 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597009.7 U19.8090167266 I-80.9813 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597009.81 U19.8002667403 I-80.9883 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597009.92 U19.7734417334 I-80.9848 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597010.03 U19.7896917197 I-80.9778 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597010.13 U19.7695917197 I-80.9778 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597010.24 U19.7848324617 I-80.9919 T_a14.312 T_p19.770163203 R0.407144818947, 
t1553597010.35 U19.7957574685 I-80.9954 T_a14.312 T_p19.770163203 R0.407144818947, 
