t1550845682.72 U20.8558812318 I-71.9908 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845682.83 U20.8748812318 I-71.9908 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845682.94 U20.866056225 I-71.9873 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.05 U20.8798312456 I-71.9978 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.15 U20.8964062387 I-71.9943 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.26 U20.885056225 I-71.9873 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.37 U20.891456225 I-71.9873 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.48 U20.8981969669 I-72.0014 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.59 U20.8685812318 I-71.9908 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.69 U20.8526654968 I-71.9802 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.8 U20.8992969669 I-72.0014 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845683.91 U20.8872312456 I-71.9978 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845684.02 U20.8738812318 I-71.9908 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.13 U20.8664812318 I-71.9908 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.23 U20.855556225 I-71.9873 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.34 U20.8526654968 I-71.9802 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.45 U20.8647062387 I-71.9943 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.56 U20.8672312456 I-71.9978 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.67 U20.870356225 I-71.9873 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.77 U20.8848062387 I-71.9943 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.88 U20.8769812318 I-71.9908 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845684.99 U20.8805062387 I-71.9943 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845685.1 U20.8769812318 I-71.9908 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845685.21 U20.8498312181 I-71.9838 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845685.32 U20.8403312181 I-71.9838 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845685.42 U20.8505812318 I-71.9908 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845685.53 U20.8795062387 I-71.9943 T_a14.5 T_p16.4250788485 R0.407144818947, 
t1550845685.64 U20.8777312456 I-71.9978 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845685.75 U20.869256225 I-71.9873 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845685.86 U20.877656225 I-71.9873 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845685.96 U20.840756225 I-71.9873 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.07 U20.8484812318 I-71.9908 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.18 U20.8562312181 I-71.9838 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.29 U20.8615312181 I-71.9838 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.4 U20.8790812318 I-71.9908 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.5 U20.8738812318 I-71.9908 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.61 U20.8827062387 I-71.9943 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.72 U20.8658062387 I-71.9943 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.83 U20.8541062387 I-71.9943 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845686.94 U20.8590812318 I-71.9908 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845687.04 U20.8663654968 I-71.9802 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845687.15 U20.8833969669 I-72.0014 T_a14.5 T_p16.6595712149 R0.407144818947, 
t1550845687.26 U20.8621654968 I-71.9802 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845687.37 U20.8462654968 I-71.9802 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845687.48 U20.8632812318 I-71.9908 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845687.58 U20.8394219738 I-72.0049 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845687.69 U20.836556225 I-71.9873 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845687.8 U20.8693312456 I-71.9978 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845687.91 U20.8510062387 I-71.9943 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.02 U20.838656225 I-71.9873 T_a14.5 T_p16.931418062 R0.407144818947, 
