t8.81190180779 U25.0042 I0.9
t8.83191180229 U25.0074 I0.7968
t8.85191583633 U25.0122 I0.7392
t8.8718919754 U24.9946 I0.84
t8.89190888405 U25.0026 I0.7488
t8.9118938446 U25.0042 I0.648
t8.93189382553 U24.9978 I0.948
t8.95193886757 U25.0026 I0.7776
t8.97189092636 U25.001 I0.6936
t8.99190497398 U25.009 I0.8376
t9.01190090179 U25.0042 I0.8064
t9.03189992905 U25.0042 I0.72
t9.05189180374 U25.0154 I0.78
t9.07190084457 U25.0058 I0.8088
t9.09189295769 U24.9962 I0.696
t9.11190700531 U25.0106 I0.7056
t9.13191199303 U25.001 I0.7824
t9.15190577507 U25.0138 I0.7392
t9.17220687866 U24.9994 I0.7752
t9.19191384315 U24.9994 I0.6816
t9.21189284325 U25.0138 I0.732
t9.23190283775 U24.9978 I0.8688
t9.25191283226 U25.009 I0.7128
t9.27190494537 U25.0042 I0.732
t9.2919178009 U25.0026 I0.8592
t9.31192183495 U24.9962 I0.7152
t9.33192300797 U25.0026 I0.7776
t9.35192298889 U24.9962 I0.8544
t9.37192392349 U25.0106 I0.8232
t9.39191579819 U25.0058 I0.7584
t9.41192388535 U25.001 I0.8448
t9.43192696571 U24.9978 I0.768
t9.45191788673 U25.0026 I0.6984
t9.47193288803 U25.0106 I0.96
t9.49194383621 U24.9962 I0.7608
t9.5120677948 U25.0058 I0.6744
t9.53193283081 U24.9914 I0.7752
t9.5519888401 U25.0026 I0.732
t9.57195687294 U24.9978 I0.7056
t9.59192895889 U25.0042 I0.828
t9.61194086075 U25.0042 I0.6624
t9.63192486763 U24.9946 I0.7248
t9.65193796158 U25.0026 I0.8952
t9.67198681831 U24.9994 I0.7032
t9.69194984436 U25.0042 I0.7656
t9.71195197105 U25.0026 I0.816
t9.73194885254 U25.0026 I0.6936
t9.75193881989 U25.0154 I0.7464
t9.77194786072 U24.9978 I0.792
t9.79195380211 U25.0042 I0.7944
t9.81195688248 U25.0122 I0.7776
t9.83196091652 U24.9962 I0.8472
t9.85196590424 U25.0042 I0.7584
t9.87195086479 U25.017 I0.7416
t9.89195489883 U24.9978 I0.8544
t9.9119617939 U25.0026 I0.7296
t9.93195295334 U25.0202 I0.6936
t9.9519598484 U25.0042 I0.7512
t9.97196793556 U25.0026 I0.7296
t9.99195981026 U25.0154 I0.6912
t10.0119738579 U24.9978 I0.7752
t10.0319738388 U24.9994 I0.7488
