LineNumber,ID,RPM,angle ,,,"LineNumber, ID, Timestamp(Unix), RPM, Power, Deflection"
513,15-15-72-5,72,5,,,
514,15-15-72-10,72,10,,,
515,15-15-72-15,72,15,,,
516,15-15-72-20,72,20,,,
517,15-15-72-25,72,25,,,
518,15-15-72-30,72,30,,,
519,15-15-73-0,73,0,,,
520,15-15-73-5,73,5,,,
521,15-15-73-10,73,10,,,
522,15-15-73-15,73,15,,,
523,15-15-73-20,73,20,,,
524,15-15-73-25,73,25,,,
525,15-15-73-30,73,30,,,
526,15-15-74-0,74,0,,,
527,15-15-74-5,74,5,,,
528,15-15-74-10,74,10,,,
529,15-15-74-15,74,15,,,
530,15-15-74-20,74,20,,,
531,15-15-74-25,74,25,,,
532,15-15-74-30,74,30,,,
533,15-15-75-0,75,0,,,
534,15-15-75-5,75,5,,,
535,15-15-75-10,75,10,,,
536,15-15-75-15,75,15,,,
537,15-15-75-20,75,20,,,
538,15-15-75-25,75,25,,,
539,15-15-75-30,75,30,,,
540,15-17.5-71-0,71,0,,,
541,15-17.5-71-5,71,5,,,
542,15-17.5-71-10,71,10,,,
543,15-17.5-71-15,71,15,,,
544,15-17.5-71-20,71,20,,,
545,15-17.5-71-25,71,25,,,
546,15-17.5-71-30,71,30,,,
547,15-17.5-72-0,72,0,,,
548,15-17.5-72-5,72,5,,,
549,15-17.5-72-10,72,10,,,
550,15-17.5-72-15,72,15,,,
551,15-17.5-72-20,72,20,,,
552,15-17.5-72-25,72,25,,,
553,15-17.5-72-30,72,30,,,
554,15-17.5-73-0,73,0,,,
555,15-17.5-73-5,73,5,,,
556,15-17.5-73-10,73,10,,,
557,15-17.5-73-15,73,15,,,
558,15-17.5-73-20,73,20,,,
559,15-17.5-73-25,73,25,,,
560,15-17.5-73-30,73,30,,,
561,15-17.5-75-0,75,0,,,
562,15-17.5-75-5,75,5,,,
563,15-17.5-75-10,75,10,,,
564,15-17.5-75-15,75,15,,,
565,15-17.5-75-20,75,20,,,
566,15-17.5-75-25,75,25,,,
567,15-17.5-75-30,75,30,,,
568,17-5-71-0,71,0,,,
569,,71,5,,,
570,,71,10,,,
571,,71,15,,,
572,,71,20,,,
573,,71,25,,,
574,17-5-71-30,71,30,,,
575,17-5-75-0,75,0,,,
576,17-5-75-5,75,5,,,
577,17-5-75-10,75,10,,,
578,17-5-75-15,75,15,,,
579,17-5-75-20,75,20,,,
580,17-5-75-25,75,25,,,
581,17-5-75-30,75,30,,,
582,17-10-71-0,71,0,,,
583,17-10-71-5,71,5,,,
584,17-10-71-10,71,10,,,
585,17-10-71-15,71,15,,,
586,17-10-71-20,71,20,,,
587,17-10-71-25,71,25,,,
588,17-10-71-30,71,30,,,
589,17-10-72-0,72,0,,,
590,17-10-72-5,72,5,,,
591,17-10-72-10,72,10,,,
592,17-10-72-15,72,15,,,
593,17-10-72-20,72,20,,,
594,17-10-72-25,72,25,,,
595,17-10-72-30,72,30,,,
596,17-10-73-0,73,0,,,
597,17-10-73-5,73,5,,,
598,17-10-73-10,73,10,,,
599,17-10-73-15,73,15,,,
600,17-10-73-20,73,20,,,
601,17-10-73-25,73,25,,,
602,17-10-73-30,73,30,,,
